,aciklama,ilce,mahalle,fiyat,m2_brut,m2_net,oda_sayisi,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,kullanim_durumu,site_icerisinde,aidat,kimden,yaka
0,roya nova eşyali ki̇ralik dai̇re 19.kat 1+0,Ümraniye,Çamlık Mh.,7000.0,45.0,27.0,Stüdyo (1+0),0,19,30 ve üzeri,Yerden Isıtma,1,Yok,Evet,Boş,Evet,800.0,Emlak Ofisinden,Anadolu
1,metropol i̇stanbul büyük ti̇p 2+1 100 m2 ki̇ralik dai̇re!,Ataşehir,Atatürk Mh.,17500.0,100.0,85.0,2+1,4,15,27,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
2,fi̇nans merkezi̇ne komşu koza palace ki̇ralik 3+1 dai̇re,Ümraniye,Site Mah.,8250.0,135.0,120.0,3+1,4,3,14,Merkezi (Pay Ölçer),2,Yok,Hayır,Kiracılı,Evet,700.0,Emlak Ofisinden,Anadolu
3,dragos sahilde sıfır kiralık 3+1 daire,Kartal,Orhantepe Mah.,10000.0,120.0,95.0,3+1,0,3,10,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
4,dekon silva yetkili emlak ofisinden kiralık 2+1 havuz cephe,Çekmeköy,Alemdağ Mh.,6750.0,99.0,74.0,2+1,5-10 arası,4,5,Merkezi (Pay Ölçer),1,Var,Hayır,Kiracılı,Evet,918.0,Emlak Ofisinden,Anadolu
5,pega kartal projesi̇ ofi̇s ve konuta uygun ki̇ralik 1+1,Kartal,Soğanlık Yeni Mh.,6250.0,69.0,42.0,1+1,3,30 ve üzeri,30 ve üzeri,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
6,metropol i̇stanbul 1+0/1+1 çevri̇lebi̇li̇r ki̇ralik //boş//dai̇re,Ataşehir,Atatürk Mh.,12000.0,71.0,50.0,Stüdyo (1+0),3,4,28,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
7,üsküdar sultantepede cadde üstü ki̇ralik dai̇re,Üsküdar,Sultantepe Mah.,8000.0,160.0,150.0,3+1,21-25 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Hayır,50.0,Emlak Ofisinden,Anadolu
8,-aktaş-özel_i̇ç_mi̇mar_dekorasyonlu_2+1_ultra_lux_full_eşyali!!!!,Maltepe,Zümrütevler Mh.,6550.0,95.0,85.0,2+1,4,Yüksek Giriş,3,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
9,i̇lbank ki̇ptaş torkam yaşam merkez full lüx eşyali 1+1 kisa dönem,Kadıköy,Dumlupınar Mh.,15000.0,78.0,54.0,1+1,0,9,21,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,285.0,Emlak Ofisinden,Anadolu
10,amiralden küçükyalı merkezde kiralık 2+1 bakımlı lüks daire,Maltepe,Küçükyalı Mh.,7150.0,100.0,80.0,2+1,5-10 arası,Yüksek Giriş,4,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
11,kiz ogrenci̇ye güvenli̇kli̇ si̇te eşyal lüks konaklama fatura dahi̇l,Beykoz,Kavacık Mh.,1950.0,30.0,30.0,Stüdyo (1+0),16-20 arası,2,4,Doğalgaz (Kombi),1,Var,Evet,Boş,Evet,,Sahibinden,Anadolu
12,taşdelen cumhuri̇yet mah otoparkli full eşyali 1+1 ki̇ralik dai̇re,Çekmeköy,Cumhuriyet Mah.,3600.0,65.0,50.0,1+1,4,Bahçe Katı,4,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
13,sahibinden 2+1 merkezi konum,Kadıköy,Merdivenköy Mh.,7000.0,63.0,63.0,2+1,31 ve üzeri,2,5,Merkezi,1,Var,Hayır,Boş,Evet,100.0,Sahibinden,Anadolu
14,şaşkınbakkal bağdat caddesine 250 m uzaklıkta kiralık dai̇re,Kadıköy,Suadiye Mah.,18500.0,150.0,110.0,3+1,1,7,14,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Hayır,725.0,Emlak Ofisinden,Anadolu
15,havuzlu si̇te i̇çeri̇si̇nde eşyali ki̇ralik 1+0 dai̇re,Pendik,Çamlık Mh.,2800.0,50.0,40.0,Stüdyo (1+0),5-10 arası,1,6,Doğalgaz (Kombi),1,Yok,Evet,Boş,Evet,250.0,Emlak Ofisinden,Anadolu
16,nef ormantepe küçük parselde 2+1 ebeveyn banyolu full eşyali,Çekmeköy,Nişantepe Mh.,9450.0,126.0,89.0,2+1,0,3,4,Doğalgaz (Kombi),2,Var,Evet,Boş,Evet,1.05,Emlak Ofisinden,Anadolu
17,kavacik merkezde üni̇versi̇te bölgesi̇ 185 m2 balkonlu ki̇ralik 3+1,Beykoz,Kavacık Mh.,10450.0,185.0,160.0,3+1,21-25 arası,4,8,Doğalgaz (Kombi),3,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
18,tantavi̇ mah sur yapi exen karşisi yeni̇ bi̇na ki̇ralik 3+1,Ümraniye,Tantavi Mah.,9500.0,140.0,120.0,3+1,4,3,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
19,bostanci metroya minb yakın ki̇ralik büyük 3+1 bakımlı lüx ferah,Kadıköy,Bostancı Mh.,10000.0,160.0,135.0,3+1,26-30 arası,5,9,Merkezi,1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
20,çekmeköy hami̇di̇ye mahallesi̇nde ki̇ralik 2+1 dai̇re,Çekmeköy,Hamidiye Mah.,4000.0,90.0,80.0,2+1,5-10 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
21,taşdelen aydınlar mah. kiralık daire 3+1,Çekmeköy,Aydınlar Mh.,4250.0,125.0,120.0,3+1,16-20 arası,2,3,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Sahibinden,Anadolu
22,sancaktepe ali̇ce vi̇llage ki̇ralik 2+1 dai̇re,Sancaktepe,Kemal Türkler Mh.,5000.0,91.0,80.0,2+1,11-15 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
23,modern house:talatpaşa cad-yeni̇ metro yakini otoparkli ferah 2+1,Ümraniye,Namık Kemal Mh.,5750.0,90.0,75.0,2+1,0,7,12,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,250.0,Emlak Ofisinden,Anadolu
24,mehmet akifde 4+2 dubleks asansorsuz 6500 tl,Çekmeköy,Mehmet Akif Mh.,6500.0,170.0,160.0,4+2,5-10 arası,3,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
25,yeditepe üni. karşı sokağında faturalar dahil balkonlu 1+1 daire,Ataşehir,Kayışdağı Mh.,4500.0,60.0,55.0,1+1,11-15 arası,1,4,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
26,aktaş'tan fistikağacinda fuul eşyali kapali otoparkli dublex,Üsküdar,Selami Ali Mah.,20000.0,190.0,170.0,3+1,4,4,5,Doğalgaz (Kombi),2,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
27,bağdat cd taşmektebe 2.bi̇nada balkonlu kombi̇li̇ 3+1 ki̇ralik,Kadıköy,Erenköy Mh.,10800.0,98.0,78.0,3+1,21-25 arası,8,13,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,375.0,Emlak Ofisinden,Anadolu
28,ataşehi̇r'de ki̇ralik 2+1 ara kat dai̇re,Ataşehir,Esatpaşa Mh.,6000.0,105.0,95.0,2+1,5-10 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,İnşaat Firmasından,Anadolu
29,tuzla fiyaka 2 si̇tesi̇nde geni̇ş ferah 95m2 2+1,Tuzla,Mimar Sinan Mah.,5600.0,115.0,95.0,2+1,5-10 arası,9,12,Merkezi (Pay Ölçer),1,Var,Hayır,Kiracılı,Evet,385.0,Emlak Ofisinden,Anadolu
30,karagöz sirtinda 2+1 90m2,Beykoz,Çiğdem Mh.,4000.0,100.0,90.0,2+1,21-25 arası,3,3,Doğalgaz (Kombi),1,Var,,Boş,Hayır,,Emlak Ofisinden,Anadolu
31,nidapark küçükyalı heybeli deniz manzaralı kiralık sıfır 1+1 boş,Maltepe,Küçükyalı Mh.,10000.0,60.0,40.0,1+1,0,10,25,Yerden Isıtma,1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
32,sina park kartal 2+1 sıfır daire,Kartal,Hürriyet Mh.,5500.0,89.0,70.0,2+1,0,4,16,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,250.0,Sahibinden,Anadolu
33,ataşehir ağaoğlu moontown büyük tip 194m2 kiralık 3+1 daire,Ataşehir,Barbaros Mah.,18900.0,194.0,149.0,3+1,11-15 arası,19,22,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Evet,1.25,Emlak Ofisinden,Anadolu
34,tuzla evora i̇stanbul c parsel balkonlu ki̇ralik 1+0,Tuzla,Aydıntepe Mh.,3500.0,50.0,38.0,Stüdyo (1+0),5-10 arası,7,8,Merkezi (Pay Ölçer),1,Var,Hayır,Kiracılı,Evet,550.0,Emlak Ofisinden,Anadolu
35,2+1 kiralik dai̇re,Pendik,Yenişehir Mh.,3000.0,95.0,75.0,2+1,11-15 arası,2,4,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Evet,100.0,Emlak Ofisinden,Anadolu
36,toku'dan tuzla aydınlı akdeniz evlerinde 1+1 geniş teraslı .,Tuzla,Aydınlı Mh.,3500.0,85.0,70.0,1+1,11-15 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,850.0,Emlak Ofisinden,Anadolu
37,i̇dealtepe sahilde geniş kullanımlı 1.kat ferah 3+1,Maltepe,İdealtepe Mh.,8900.0,140.0,120.0,3+1,26-30 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
38,!!! sur yapi i̇di̇li̇a'da 3+1 kat bahçeli̇ full eşyali ki̇ralik dai̇re,Sultanbeyli,Adil Mah.,13500.0,329.0,290.0,3+1,5-10 arası,3,7,Merkezi (Pay Ölçer),2,Var,Evet,Mülk Sahibi,Evet,1.5,Emlak Ofisinden,Anadolu
39,sahibinden narlife sitesinde 1+0 full eşyalı,Maltepe,Başıbüyük Mh.,4750.0,40.0,33.0,Stüdyo (1+0),5-10 arası,6,10,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,,Sahibinden,Anadolu
40,sahi̇bi̇nden-(1+1)-en büyük m2-en güzel konum,Sancaktepe,Abdurrahmangazi Mah.,6000.0,84.0,78.0,1+1,0,6,11,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,450.0,Sahibinden,Anadolu
41,"kartal tual adalarda 2,5+1 eşyasiz ki̇ralik dai̇re 12.kat",Kartal,Yakacık Yeni Mh.,11000.0,120.0,90.0,2.5+1,1,12,26,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,850.0,Emlak Ofisinden,Anadolu
42,evi̇nburda açıklama okuyunuz..1 temmuz teslim...,Ümraniye,Altınşehir Mh.,7500.0,80.0,70.0,2+1,0,3,4,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
43,remax duygu'dan 360 kurtköy'de ki̇ralik 3+1 bahçeli̇ dai̇re,Pendik,Çamlık Mh.,18000.0,145.0,108.0,3.5+1,4,Bahçe Katı,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
44,sahibinden parklı site içinde otoparklı,Ümraniye,Mehmet Akif Mah.,5500.0,135.0,125.0,3+1,21-25 arası,5,9,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Sahibinden,Anadolu
45,türk telekom arkasinda 4+1 165m2 muhteşem lokasyon,Üsküdar,Acıbadem Mh.,14000.0,165.0,150.0,4+1,31 ve üzeri,1,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,350.0,Emlak Ofisinden,Anadolu
46,mert gayri̇menkul den narlidere caddesi̇ üzeri̇nde si̇te de ki̇ralik,Maltepe,Girne Mah.,5000.0,100.0,90.0,3+1,5-10 arası,Bahçe Katı,5,Merkezi (Pay Ölçer),1,Yok,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Anadolu
47,my towerland yuksek kat guney cephe 3+1,Ataşehir,Atatürk Mh.,15000.0,117.0,90.0,2+1,5-10 arası,14,30 ve üzeri,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,800.0,Emlak Ofisinden,Anadolu
48,ortaklar gayri̇menkulden aydinli da 3+1 ki̇ralik dai̇re..,Tuzla,Aydınlı Mh.,3450.0,120.0,100.0,3+1,16-20 arası,Giriş Katı,2,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
49,pendi̇k yeni̇şehi̇r ful eşyali 1+1 ki̇ralik dai̇re,Pendik,Yenişehir Mh.,6000.0,70.0,65.0,1+1,5-10 arası,4,7,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,250.0,Emlak Ofisinden,Anadolu
50,maltepe bağlarbaşı'nda ulaşıma yakın full eşyalı 2+1 daire,Maltepe,Bağlarbaşı Mh.,8000.0,100.0,90.0,2+1,26-30 arası,7,7,Doğalgaz (Kombi),1,Var,Evet,Mülk Sahibi,Hayır,,Emlak Ofisinden,Anadolu
51,si̇stem'den altintepe merkezi̇ konumda ki̇ralik ön cephe 2.kat 2+1,Maltepe,Altıntepe Mh.,8000.0,90.0,75.0,2+1,0,2,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,75.0,Emlak Ofisinden,Anadolu
52,3+1 ferah daire,Kadıköy,Bostancı Mh.,5000.0,125.0,112.0,3+1,5-10 arası,3,6,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Hayır,180.0,Sahibinden,Anadolu
53,sahibinden kapalı teraslı 3+1 daire,Tuzla,Şifa Mh.,4750.0,125.0,110.0,3+1,5-10 arası,2,2,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Sahibinden,Anadolu
54,bağdat cad.yakin 2+1 manzarali sifir ki̇ralik dai̇re,Kadıköy,Erenköy Mh.,15000.0,102.0,75.0,2+1,0,11,11,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
55,*tek yetki̇li̇* heybeli̇ etabi 1+1 ki̇ralik tüm alternati̇fler,Maltepe,Çınar Mh.,9000.0,60.0,40.0,1+1,0,16,24,Merkezi,1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
56,feneryolu'nda i̇çi̇ yeni̇lenmi̇ş ki̇ralik 2+1 dai̇re,Kadıköy,Zühtüpaşa Mh.,9000.0,90.0,68.0,2+1,31 ve üzeri,1,4,Doğalgaz Sobası,1,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
57,kordonboyu si̇te i̇çi̇nde i̇smai̇l selçuk'tan ki̇ralik dai̇re 3+1,Kartal,Kordonboyu Mah.,8500.0,135.0,115.0,3+1,21-25 arası,8,11,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Anadolu
58,ataşehi̇r mi̇gros metropol i̇stanbul gardenya tadi̇latli 4+1 ki̇ralik,Ataşehir,Atatürk Mh.,16000.0,190.0,150.0,4+1,16-20 arası,Bahçe Katı,11,Merkezi (Pay Ölçer),2,Var,Hayır,Kiracılı,Evet,,Emlak Ofisinden,Anadolu
