,ilce,fiyat,m2_brut,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,site_icerisinde,kimden,yaka,oda,salon,merkeze_yakin,aidat_aralik,luks_mu
0,Ümraniye,7000.0,45.0,0-5 arası,19,31,Yerden Isıtma,1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,750 - 1000,Hayır
1,Ataşehir,17500.0,100.0,0-5 arası,15,27,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,300 - 500,Hayır
2,Ümraniye,8250.0,135.0,0-5 arası,3,14,Merkezi (Pay Ölçer),2,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,3.0,1.0,Evet,500 - 750,Hayır
3,Kartal,10000.0,120.0,0-5 arası,3,10,Doğalgaz (Kombi),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
4,Çekmeköy,6750.0,99.0,5-10 arası,4,5,Merkezi (Pay Ölçer),1,Var,Hayır,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,750 - 1000,Hayır
5,Kartal,6250.0,69.0,0-5 arası,31,31,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,300 - 500,Hayır
6,Ataşehir,12000.0,71.0,0-5 arası,4,28,Merkezi (Pay Ölçer),1,Yok,Hayır,Evet,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,750 - 1000,Hayır
7,Üsküdar,8000.0,160.0,21-25 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
8,Maltepe,6550.0,95.0,0-5 arası,1,3,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Evet
9,Kadıköy,15000.0,78.0,0-5 arası,9,21,Merkezi (Pay Ölçer),1,Var,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,1.0,Evet,150 - 300,Evet
10,Maltepe,7150.0,100.0,5-10 arası,1,4,Doğalgaz (Kombi),1,Yok,Hayır,Hayır,Emlak Ofisinden,Anadolu,2.0,1.0,Evet,0 - 150,Evet
11,Beykoz,1950.0,30.0,16-20 arası,2,4,Doğalgaz (Kombi),1,Var,Evet,Evet,Sahibinden,Anadolu,1.0,0.0,Hayır,0 - 150,Evet
12,Çekmeköy,3600.0,65.0,0-5 arası,0,4,Doğalgaz (Kombi),1,Yok,Evet,Hayır,Emlak Ofisinden,Anadolu,1.0,1.0,Hayır,0 - 150,Hayır
13,Kadıköy,7000.0,63.0,31 ve üzeri,2,5,Merkezi,1,Var,Hayır,Evet,Sahibinden,Anadolu,2.0,1.0,Evet,0 - 150,Hayır
14,Kadıköy,18500.0,150.0,0-5 arası,7,14,Merkezi (Pay Ölçer),2,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,500 - 750,Hayır
15,Pendik,2800.0,50.0,5-10 arası,1,6,Doğalgaz (Kombi),1,Yok,Evet,Evet,Emlak Ofisinden,Anadolu,1.0,0.0,Hayır,150 - 300,Hayır
16,Çekmeköy,9450.0,126.0,0-5 arası,3,4,Doğalgaz (Kombi),2,Var,Evet,Evet,Emlak Ofisinden,Anadolu,2.0,1.0,Hayır,0 - 150,Hayır
17,Beykoz,10450.0,185.0,21-25 arası,4,8,Doğalgaz (Kombi),3,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Evet,150 - 300,Hayır
18,Ümraniye,9500.0,140.0,0-5 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,0 - 150,Hayır
19,Kadıköy,10000.0,160.0,26-30 arası,5,9,Merkezi,1,Var,Hayır,Hayır,Emlak Ofisinden,Anadolu,3.0,1.0,Hayır,300 - 500,Evet
